Ticker,p,d,q,garch1,garch2,predmean,predsd
A,5,1,5,0,0,88.99995,6.46308
AA,0,1,2,2,2,54.4410559175609,1.96716449707397
ABC,5,1,5,1,1,19.7899274032343,0.198722268251453
ABT,3,1,2,1,1,14.6885540940773,0.234645402628051
ABX,0,1,3,1,1,66.2535223868919,2.37232404045817
ADM,4,1,5,2,2,21.7687416034099,0.729691594156143
AEP,2,1,2,2,2,13.0194449616027,0.342905543070851
AES,3,1,0,1,1,114.734893056185,3.57248623644342
AET,3,1,3,2,2,18.0629428495035,0.583752737298835
AFG,4,1,0,2,1,141.66872648761,0.599856781146727
AGN,1,1,1,2,2,26.6933041494491,0.598448251862801
AGU,5,1,3,1,1,35.0318584752316,0.540775320477692
AIG-IntLeaseFin,4,1,4,2,1,133.5613,5.301172
AIG,0,1,1,2,2,31.6131532480454,1.11450730549807
AKS-Corp,2,1,0,2,2,223.784471194423,9.51963647397395
ALL,5,1,5,2,2,16.0139410245852,0.665868988074749
AM,1,1,1,2,2,416.232807369576,7.63982650449494
AMAT,4,1,2,1,1,63.3703058496611,2.28910463190279
AMGN,1,1,1,1,1,19.7144285420738,0.476817638893344
AMKR,1,1,1,2,2,133.611920457185,4.37386671287295
AOC,1,1,5,1,1,19.8722452422553,0.22644515202966
AOT,4,1,2,2,2,71.3790139544519,0.34792340850148
APC,5,1,5,2,2,34.5450982317219,1.62391343636814
APD,0,1,1,2,2,24.7312167994614,0.268771098267788
ARW,2,1,0,1,1,36.6447236319088,1.13221850369651
ASH,3,1,4,1,1,92.9815181028404,2.07685271331673
ATI,4,1,4,2,2,96.1855976217568,7.22426515640867
AVB,2,1,2,2,2,28.7616119620874,0.607757780357304
AVP,1,1,1,1,1,124.739562655955,3.03863370572057
AVT,1,1,2,2,2,39.7437838410214,1.01356516751123
AW-NorthAmerica,5,1,4,2,2,34.5374566805461,0.300557716720213
AXP,3,1,2,1,1,23.7038622989005,0.454604593351721
AYE-EnergySupp,5,1,3,2,2,56.9614859283547,0.487772854088504
AYI,1,1,3,2,2,49.6460371967801,0.380512786901632
AZO,1,1,1,2,2,19.1432843674265,0.575427548414277
BA-CapCorp,5,1,2,2,2,6.2861719640193,0.351442886412056
BA,4,1,1,2,2,15.7669355657958,0.328545160489128
BAX,0,1,2,2,2,14.5129401348102,0.497987923020935
BBY,1,1,1,0,0,113.7066,8.132035
BC,3,1,3,1,1,56.3825223852992,1.59757186460087
BCE,0,1,0,2,1,24.3025228120029,0.371438623249276
BDK,2,1,2,2,2,13.9233186521619,0.408130006622651
BEN,5,1,4,2,2,33.7170183221168,0.591167650596827
BHI,0,1,2,2,2,25.4647164018723,0.507054055538759
BLL,5,1,5,2,2,70.2720957042426,3.47402706870907
BLS,2,1,3,2,2,19.8431510645612,0.328513891457812
BMY,2,1,2,2,2,11.6350502814684,0.340892597787373
BOL,2,1,2,2,2,12.9439236126384,0.281524654605136
BOMB-CapInc,5,1,3,2,2,17.9930062579235,0.120666352437084
BR,0,1,0,2,2,13.4583867600227,0.77998323070927
BSX,1,1,2,2,2,33.7548162756822,0.852101675846468
BWA,1,1,3,2,2,24.9864004890504,0.747557571505247
C,4,1,4,2,2,38.9939610487958,0.74185056508887
CAG,2,1,2,2,2,29.2302722892479,0.82274856758518
CAH,0,1,0,2,2,17.1211890556761,0.367061678399224
CARGIL,0,1,1,1,1,22.6693470767265,0.145205323815098
CAT-FinServ,1,1,3,2,2,23.8076173206767,0.501360735346091
CAT,2,1,4,2,2,18.861191157115,0.481193166460617
CB,2,1,2,2,2,13.3356113743635,0.439320911673342
CBE,2,1,3,2,2,61.6711074831616,0.426865144568324
CCI,4,1,0,2,2,151.459579210792,3.38336481891497
CCR-HomeLoans,2,1,2,2,2,43.5678713303094,2.08774779853636
CCU,2,1,2,1,1,873.583363501468,31.4009588988344
CHK,2,1,2,2,2,100.91714191329,2.37780242497278
CI,3,1,2,1,1,17.2675570619883,0.478455533150526
CIN,3,1,4,2,2,13.4033407742308,0.0633832118424313
CL,3,1,2,2,2,12.3517973032824,0.227347371408463
CLI-LP,5,1,5,2,2,72.4882344881913,1.20270178720026
